TenTinh,TinhId
Thành phố Hà Nội,101
Tỉnh Hà Giang,201
Tỉnh Cao Bằng,203
Tỉnh Bắc Kạn,207
Tỉnh Tuyên Quang,211
Tỉnh Lào Cai,205
Tỉnh Điện Biên,302
Tỉnh Lai Châu,301
Tỉnh Sơn La,303
Tỉnh Yên Bái,213
Tỉnh Hoà Bình,305
Tỉnh Thái Nguyên,215
Tỉnh Lạng Sơn,209
Tỉnh Quảng Ninh,225
Tỉnh Bắc Giang,221
Tỉnh Phú Thọ,217
Tỉnh Vĩnh Phúc,104
Tỉnh Bắc Ninh,106
Tỉnh Hải Dương,107
Thành phố Hải Phòng,103
Tỉnh Hưng Yên,109
Tỉnh Thái Bình,115
Tỉnh Hà Nam,111
Tỉnh Nam Định,113
Tỉnh Ninh Bình,117
Tỉnh Thanh Hóa,401
Tỉnh Nghệ An,403
Tỉnh Hà Tĩnh,405
Tỉnh Quảng Bình,407
Tỉnh Quảng Trị,409
Tỉnh Thừa Thiên Huế,411
Thành phố Đà Nẵng,501
Tỉnh Quảng Nam,503
Tỉnh Quảng Ngãi,505
Tỉnh Bình Định,507
Tỉnh Phú Yên,509
Tỉnh Khánh Hòa,511
Tỉnh Ninh Thuận,705
Tỉnh Bình Thuận,715
Tỉnh Kon Tum,601
Tỉnh Gia Lai,603
Tỉnh Đắk Lắk,605
Tỉnh Đắk Nông,606
Tỉnh Lâm Đồng,607
Tỉnh Bình Phước,707
Tỉnh Tây Ninh,709
Tỉnh Bình Dương,711
Tỉnh Đồng Nai,713
Tỉnh Bà Rịa - Vũng Tàu,717
Thành phố Hồ Chí Minh,701
Tỉnh Long An,801
Tỉnh Tiền Giang,807
Tỉnh Bến Tre,811
Tỉnh Trà Vinh,817
Tỉnh Vĩnh Long,809
Tỉnh Đồng Tháp,803
Tỉnh An Giang,805
Tỉnh Kiên Giang,813
Thành phố Cần Thơ,815
Tỉnh Hậu Giang,816
Tỉnh Sóc Trăng,819
Tỉnh Bạc Liêu,821
Tỉnh Cà Mau,823
